name,url,reason
"Build AI","https://www.buildai.space/","Domain exists"
"MixerBox Chat AI","https://apps.apple.com/us/app/","Domain exists"
"Uizard","https://uizard.io/","Domain exists"
"PromptHero","https://prompthero.com/","Domain exists"
"Kindbuds","https://www.kindbuds.ai/","Domain exists"
"DallE-2","https://openai.com/dall-e-2/","Domain exists"
"Lindy.ai","https://www.lindy.ai/","Domain exists"
"Magical AI","https://www.getmagical.com/","Domain exists"
"Landing AI","https://makelanding.ai/","Domain exists"
"Safespelling","https://www.mgrworkbench.ai/","Domain exists"
"Taskade","https://www.taskade.com/","Domain exists"
"Jasper","https://jasper.ai/","Domain exists"
"Framer AI","https://www.framer.com/","Domain exists"
"Protection Guard","https://www.predictionguard.com/","Domain exists"
"Connected Papers","https://www.connectedpapers.com/","Domain exists"
"Instabot","https://www.instabot.io/","Name exists"
"WebCopilot","https://www.webcopilot.ai/","Domain exists"
"Stable Diffusion","https://stability.ai/","Domain exists"
"Leonardo.Ai","https://leonardo.ai/","Domain exists"
"Simplified","https://simplified.com/ai-writer/","Domain exists"
"Laika","https://prompt.getlaika.app/","Name exists"
"DevGPT","https://www.devgpt.com/","Name exists"
"Pixelz AI","https://pixelz.ai/","Domain exists"
"AskMidjourney","https://app.sttabot.io/bot/ask-midjourney/","Domain exists"
"Pathfinder","https://www.summit.im/pathfinder","Domain exists"
"Ai2sql","https://www.ai2sql.io/","Domain exists"
"Avatar AI","https://avatarai.me/","Domain exists"
"Loudly","https://www.loudly.com/","Domain exists"
"Podcast","https://podcast.ai/","Domain exists"
"ExplainPaper","https://www.explainpaper.com/","Domain exists"
"Nvidia Launchpad AI","https://www.nvidia.com/en-in/launchpad/ai/","Domain exists"
"Finchat.io","https://finchat.io/","Domain exists"
"Grammarly","https://app.grammarly.com/","Name exists"
"Minerva: LinkedIn Optimizer","https://chrome.google.com/webstore/detail/minerva-linkedin-optimize/djkiinnhekmoohbombjhkpmacifjpgdo/","Invalid URL"
"Recraft","https://www.recraft.ai/","Domain exists"
"AI Trip Planner","https://www.buildai.space/app","Domain exists"
"Gamma","https://gamma.app/","Domain exists"
"fast.ai","https://www.fast.ai/","Domain exists"
"AVA","https://www.getava.io/","Name exists"
"Plus AI for Market Research","https://www.plusdocs.com/use-cases/","Domain exists"
"Resemble","https://www.resemble.ai/","Domain exists"
"ChatGPT Plugins","https://openai.com/blog/","Domain exists"
"Colossyan","https://www.colossyan.com/","Domain exists"
"Steve AI","https://steveai.xyz/landing_steve","Name exists"
"Copy.ai","https://www.copy.ai/","Domain exists"
"Whimsical AI","https://whimsical.com/","Domain exists"
"Hourone","https://hourone.ai/","Domain exists"
"Browser AI","https://www.opera.com/features/","Domain exists"
"ChatPDF","https://www.chatpdf.com/","Domain exists"
"PhotoDel","https://play.google.com/store/apps/","Invalid URL"
"Anyword","https://anyword.com/","Domain exists"
"Novel AI","https://novelai.net/","Domain exists"
"Vocal Remover","https://vocalremover.com/","Name exists"
"Linkedin Post Generator","https://sid.black/tools","Name exists"
"Parsio","https://parsio.io/","Domain exists"
"Flythroughs","https://lumalabs.ai/","Domain exists"
"Boomy","https://boomy.com/","Domain exists"
"Nekton.ai","https://nekton.ai/","Domain exists"
"Cohere","https://cohere.io/","Name exists"
"Flux","https://getflux.io/","Name exists"
"Rewind AI","https://www.rewind.ai/","Domain exists"
"Elicit","https://elicit.com/","Name exists"
"Beatoven.ai","https://www.beatoven.ai/","Domain exists"
"Ecommerce Booster | SEMRUSH","https://www.semrush.com/lp/ecommerce-booster/en/","Domain exists"
"Wonder Dynamics","https://www.wonderdynamics.com/","Domain exists"
"Whisper Memos","https://zoomscape.ai/","Domain exists"
